SBA Disaster Loan Data,,,,,,,Report Run Date:  12/1/2017 ,,,,,,
,,,,,,,Report Run Time:   3:09:56PM,,,,,,
Reporting Period:  10/01/2016 - 09/30/2017,,,,,,,,,,,,,
Declaration Type(s):  'ALL',,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content
14911,14912,4285,NC-00081,HOBGOOD,27843,HALIFAX,NC,"37,577.00","34,377.00","3,200.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,HOFFMAN,28347,RICHMOND,NC,"18,892.00","12,852.00","6,040.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,HOLLY RIDGE,28445,ONSLOW,NC,"5,150.00",0.00,"5,150.00",0.00,0.00,0.00
14911,14912,4285,NC-00081,HOLLY SPRINGS,27540,HARNETT,NC,"87,834.00","87,534.00",300.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,HOOKERTON,28538,GREENE,NC,"550,089.00","463,484.00","86,605.00","433,600.00","414,300.00","19,300.00"
14911,14912,4285,NC-00081,HOPE MILLS,28348,CUMBERLAND,NC,"6,325,425.00","4,524,065.00","1,801,360.00","3,738,500.00","2,654,400.00","1,084,100.00"
14911,14912,4285,NC-00081,HOPE MILLS,28348,ROBESON,NC,"9,702.00","9,702.00",0.00,0.00,0.00,0.00
14911,14912,4285,NC-00081,HUBERT,28539,ONSLOW,NC,"39,748.00","39,748.00",0.00,"16,700.00","16,700.00",0.00
14911,14912,4285,NC-00081,IVANHOE,28447,BLADEN,NC,"1,203,930.00","861,700.00","342,230.00","588,600.00","415,600.00","173,000.00"
14911,14912,4285,NC-00081,IVANHOE,28447,PENDER,NC,"118,743.00","111,393.00","7,350.00","7,400.00",0.00,"7,400.00"
14911,14912,4285,NC-00081,IVANHOE,28447,SAMPSON,NC,"80,744.00","39,654.00","41,090.00","56,600.00","15,500.00","41,100.00"
14911,14912,4285,NC-00081,JACKSONVILLE,28540,ONSLOW,NC,"177,826.00","161,351.00","16,475.00","160,700.00","109,700.00","15,500.00"
14911,14912,4285,NC-00081,JACKSONVILLE,28546,ONSLOW,NC,"35,336.00","34,306.00","1,030.00","20,900.00","19,800.00","1,100.00"
14911,14912,4285,NC-00081,JAMESVILLE,27846,MARTIN,NC,"6,300.00","6,300.00",0.00,"1,500.00","1,500.00",0.00
14911,14912,4285,NC-00081,JARVISBURG,27947,CURRITUCK,NC,"47,644.00","38,014.00","9,630.00","24,100.00","15,500.00","8,600.00"
14911,14912,4285,NC-00081,KELFORD,27847,BERTIE,NC,"19,399.00","19,399.00",0.00,"14,200.00","14,200.00",0.00
14911,14912,4285,NC-00081,KELLY,28448,BLADEN,NC,"606,362.00","424,567.00","181,795.00","348,600.00","258,200.00","90,400.00"
