Zip Code,Location,City,Avg. Income/H/hold
32827,"28.405122, -81.286297","Orlando, Florida","$41,319.00"
33931,"26.479676, -81.953697","Fort Myers Beach, Florida","$41,291.00"
33021,"26.023130, -80.186539","Hollywood, Florida","$41,263.00"
33426,"26.532718, -80.082035","Boynton Beach, Florida","$41,222.00"
34996,"27.191503, -80.213477","Stuart, Florida","$41,209.00"
32084,"29.849786, -81.283798","Saint Augustine, Florida","$41,191.00"
32174,"29.286645, -81.211465","Ormond Beach, Florida","$41,183.00"
33950,"26.904464, -82.037969","Punta Gorda, Florida","$41,180.00"
33189,"25.568034, -80.332878","Miami, Florida","$41,160.00"
34480,"29.111230, -82.097721","Ocala, Florida","$41,055.00"
32169,"28.952352, -80.874176","New Smyrna Beach, Florida","$41,051.00"
34217,"27.498818, -82.709998","Bradenton Beach, Florida","$41,021.00"
33908,"26.486974, -81.908917","Fort Myers, Florida","$40,981.00"
33947,"26.884068, -82.262964","Rotonda West, Florida","$40,967.00"
32526,"30.497730, -87.365144","Pensacola, Florida","$40,946.00"
33851,"28.044810, -81.626341","Lake Hamilton, Florida","$40,938.00"
33860,"27.833382, -82.001590","Mulberry, Florida","$40,929.00"
32086,"29.763781, -81.309969","Saint Augustine, Florida","$40,875.00"
33615,"28.004092, -82.582867","Tampa, Florida","$40,819.00"
32926,"28.388705, -80.818135","Cocoa, Florida","$40,799.00"
34689,"28.146209, -82.716668","Tarpon Springs, Florida","$40,788.00"
32215,"30.248230, -81.890190","Jacksonville, Florida","$40,714.00"
32218,"30.487775, -81.667141","Jacksonville, Florida","$40,691.00"
32233,"30.350066, -81.419406","Atlantic Beach, Florida","$40,636.00"
33315,"26.086427, -80.152878","Fort Lauderdale, Florida","$40,635.00"
34293,"27.034916, -82.372623","Venice, Florida","$40,608.00"
32908,"27.953406, -80.685303","Palm Bay, Florida","$40,575.00"
33827,"27.793224, -81.474188","Babson Park, Florida","$40,455.00"
34239,"27.311192, -82.519707","Sarasota, Florida","$40,413.00"
32195,"28.988080, -81.886336","Weirsdale, Florida","$40,410.00"
34231,"27.267477, -82.521929","Sarasota, Florida","$40,385.00"
33904,"26.580262, -81.951623","Cape Coral, Florida","$40,352.00"
34210,"27.455227, -82.632350","Bradenton, Florida","$40,330.00"
32127,"29.107408, -80.982884","Port Orange, Florida","$40,309.00"
33764,"27.935292, -82.741199","Clearwater, Florida","$40,305.00"
33810,"28.146960, -82.032042","Lakeland, Florida","$40,294.00"
32925,"28.234336, -80.607838","Patrick Afb, Florida","$40,282.00"
32792,"28.607474, -81.298057","Winter Park, Florida","$40,199.00"
33576,"28.329708, -82.304574","San Antonio, Florida","$40,168.00"
32033,"29.788112, -81.434324","Elkton, Florida","$40,156.00"
34945,"27.433183, -80.550466","Fort Pierce, Florida","$40,099.00"
34759,"28.103896, -81.419371","Kissimmee, Florida","$40,099.00"
32079,"29.979526, -81.809546","Penney Farms, Florida","$40,000.00"
33193,"25.706777, -80.469079","Miami, Florida","$39,990.00"
33455,"27.053143, -80.161232","Hobe Sound, Florida","$39,957.00"
34684,"28.076127, -82.729109","Palm Harbor, Florida","$39,896.00"
33068,"26.217211, -80.215155","Pompano Beach, Florida","$39,797.00"
33953,"27.006585, -82.210125","Port Charlotte, Florida","$39,795.00"
32138,"29.729518, -81.939136","Grandin, Florida","$39,792.00"
32904,"28.077103, -80.691453","Melbourne, Florida","$39,780.00"
32063,"30.254972, -82.113014","Macclenny, Florida","$39,771.00"
33773,"27.881414, -82.755952","Largo, Florida","$39,763.00"
32909,"27.949781, -80.742538","Palm Bay, Florida","$39,762.00"
32656,"29.826118, -81.983470","Keystone Heights, Florida","$39,748.00"
32217,"30.239592, -81.618201","Jacksonville, Florida","$39,740.00"
32514,"30.530487, -87.223173","Pensacola, Florida","$39,734.00"
32703,"28.665848, -81.531518","Apopka, Florida","$39,694.00"
33565,"28.095254, -82.172592","Plant City, Florida","$39,688.00"
33309,"26.185954, -80.172424","Fort Lauderdale, Florida","$39,651.00"
33463,"26.592937, -80.128887","Lake Worth, Florida","$39,632.00"
32701,"28.665893, -81.370342","Altamonte Springs, Florida","$39,623.00"
34957,"27.276340, -80.253989","Jensen Beach, Florida","$39,542.00"
32504,"30.472519, -87.186696","Pensacola, Florida","$39,431.00"
34736,"28.502175, -81.884085","Groveland, Florida","$39,368.00"
33190,"25.557058, -80.342079","Miami, Florida","$39,356.00"
34743,"28.331759, -81.355955","Kissimmee, Florida","$39,331.00"
34285,"27.093993, -82.448963","Venice, Florida","$39,311.00"
32046,"30.701544, -81.916442","Hilliard, Florida","$39,306.00"
33405,"26.668131, -80.059452","West Palm Beach, Florida","$39,278.00"
33462,"26.580945, -80.075192","Lake Worth, Florida","$39,267.00"
33036,"24.961467, -80.597750","Islamorada, Florida","$39,234.00"
33837,"28.227226, -81.715421","Davenport, Florida","$39,234.00"
32810,"28.621477, -81.430263","Orlando, Florida","$39,185.00"
34983,"27.319903, -80.351884","Port Saint Lucie, Florida","$39,149.00"
33611,"27.891345, -82.505665","Tampa, Florida","$39,146.00"
33409,"26.714559, -80.095821","West Palm Beach, Florida","$39,145.00"
33056,"25.948877, -80.243582","Opa Locka, Florida","$39,132.00"
34292,"27.109291, -82.392272","Venice, Florida","$39,124.00"
32210,"30.267052, -81.762186","Jacksonville, Florida","$39,095.00"
33055,"25.948468, -80.278855","Opa Locka, Florida","$39,088.00"
32548,"30.428672, -86.629722","Fort Walton Beach, Florida","$39,035.00"
33063,"26.252010, -80.210374","Pompano Beach, Florida","$38,860.00"
32327,"30.202868, -84.389041","Crawfordville, Florida","$38,844.00"
32405,"30.198271, -85.653874","Panama City, Florida","$38,841.00"
33772,"27.844229, -82.796854","Seminole, Florida","$38,840.00"
33592,"28.097734, -82.277164","Thonotosassa, Florida","$38,830.00"
33637,"28.045334, -82.361113","Tampa, Florida","$38,755.00"
33774,"27.884443, -82.826751","Largo, Florida","$38,702.00"
32176,"29.330084, -81.061462","Ormond Beach, Florida","$38,701.00"
32617,"29.302374, -82.091878","Anthony, Florida","$38,627.00"
32780,"28.537139, -80.838841","Titusville, Florida","$38,596.00"
32408,"30.158899, -85.762867","Panama City, Florida","$38,568.00"
